1.484,0.9386,0.0,0.0
1.484,0.9386,-0.1524,0.3037
1.4832,0.9401,-0.2756,0.5222
1.4819,0.9427,-0.3779,0.6774
1.48,0.9461,-0.4652,0.7854
1.4776,0.95,-0.5415,0.8582
1.4749,0.9543,-0.6096,0.9046
1.4719,0.9589,-0.6714,0.9312
1.4685,0.9635,-0.7284,0.9429
1.4649,0.9682,-0.7814,0.9434
1.461,0.973,-0.831,0.9355
1.4568,0.9776,-0.8777,0.9214
1.4524,0.9822,-0.9217,0.9025
1.4478,0.9867,-0.9633,0.8803
1.443,0.9911,-1.0024,0.8556
1.438,0.9954,-1.0394,0.8291
1.4328,0.9996,-1.0741,0.8016
1.4274,1.0036,-1.1067,0.7733
1.4219,1.0074,-1.1372,0.7447
1.4162,1.0112,-1.1657,0.716
1.4104,1.0148,-1.1922,0.6874
1.4044,1.0182,-1.2168,0.6592
1.3983,1.0215,-1.2395,0.6314
1.3921,1.0246,-1.2604,0.6041
1.3858,1.0277,-1.2796,0.5774
1.3794,1.0305,-1.297,0.5514
1.373,1.0333,-1.3129,0.5261
1.3664,1.0359,-1.3272,0.5015
1.3598,1.0384,-1.3401,0.4777
1.3531,1.0408,-1.3515,0.4546
1.3463,1.0431,-1.3616,0.4323
1.3395,1.0453,-1.3704,0.4107
1.3326,1.0473,-1.378,0.3898
1.3258,1.0493,-1.3845,0.3697
1.3188,1.0511,-1.3899,0.3503
1.3119,1.0529,-1.3943,0.3316
1.3049,1.0545,-1.3977,0.3135
1.2979,1.0561,-1.4002,0.2962
1.2909,1.0576,-1.4019,0.2794
1.2839,1.059,-1.4027,0.2633
1.2769,1.0603,-1.4028,0.2478
1.2699,1.0615,-1.4023,0.2328
1.2629,1.0627,-1.401,0.2184
1.2559,1.0638,-1.3992,0.2046
1.2489,1.0648,-1.3968,0.1913
1.2419,1.0658,-1.3939,0.1784
1.2349,1.0667,-1.3905,0.1661
1.228,1.0675,-1.3867,0.1542
1.221,1.0683,-1.3824,0.1427
1.2141,1.069,-1.3778,0.1317
1.2072,1.0696,-1.3728,0.1211
1.2004,1.0702,-1.3674,0.1108
1.1935,1.0708,-1.3618,0.101
1.1867,1.0713,-1.3559,0.0915
1.1799,1.0718,-1.3497,0.0823
1.1732,1.0722,-1.3434,0.0735
1.1665,1.0725,-1.3368,0.065
1.1598,1.0729,-1.33,0.0568
1.1531,1.0731,-1.323,0.0489
1.1465,1.0734,-1.3159,0.0413
1.1399,1.0736,-1.3087,0.034
1.1334,1.0738,-1.3014,0.0269
1.1269,1.0739,-1.2939,0.0201
1.1204,1.074,-1.2863,0.0135
1.114,1.0741,-1.2787,0.0072
1.1076,1.0741,-1.271,0.0011
1.1012,1.0741,-1.2632,-0.0048
1.0949,1.0741,-1.2554,-0.0105
1.0887,1.074,-1.2475,-0.016
1.0824,1.0739,-1.2396,-0.0213
1.0762,1.0738,-1.2317,-0.0264
1.0701,1.0737,-1.2238,-0.0314
1.0639,1.0736,-1.2158,-0.0361
1.0579,1.0734,-1.2079,-0.0407
1.0518,1.0732,-1.1999,-0.0451
1.0458,1.0729,-1.192,-0.0494
1.0399,1.0727,-1.184,-0.0535
1.0339,1.0724,-1.1761,-0.0575
1.0281,1.0721,-1.1682,-0.0613
1.0222,1.0718,-1.1603,-0.065
1.0164,1.0715,-1.1525,-0.0686
1.0107,1.0712,-1.1447,-0.072
1.0049,1.0708,-1.1369,-0.0753
0.9993,1.0704,-1.1291,-0.0785
0.9936,1.07,-1.1214,-0.0816
0.988,1.0696,-1.1138,-0.0846
0.9824,1.0692,-1.1061,-0.0874
0.9769,1.0688,-1.0986,-0.0902
0.9714,1.0683,-1.091,-0.0928
0.966,1.0679,-1.0836,-0.0954
0.9605,1.0674,-1.0761,-0.0978
0.9552,1.0669,-1.0688,-0.1002
0.9498,1.0664,-1.0614,-0.1024
0.9445,1.0659,-1.0542,-0.1046
0.9392,1.0654,-1.0469,-0.1067
0.934,1.0648,-1.0398,-0.1087
0.9288,1.0643,-1.0327,-0.1106
0.9236,1.0637,-1.0256,-0.1124
0.9185,1.0632,-1.0186,-0.1142
0.9134,1.0626,-1.0117,-0.1159
0.9084,1.062,-1.0048,-0.1175
0.9033,1.0614,-0.998,-0.1191
0.8983,1.0608,-0.9912,-0.1205
0.8934,1.0602,-0.9845,-0.1219
0.8885,1.0596,-0.9778,-0.1233
0.8836,1.059,-0.9712,-0.1246
0.8787,1.0584,-0.9647,-0.1258
0.8739,1.0577,-0.9582,-0.1269
0.8691,1.0571,-0.9518,-0.128
0.8643,1.0565,-0.9454,-0.1291
0.8596,1.0558,-0.9391,-0.1301
0.8549,1.0552,-0.9328,-0.131
