0.2267,0.9961
0.2299,1.0771
0.2347,1.17
0.2416,1.2746
0.2511,1.3891
0.2641,1.5095
0.2814,1.6291
0.3039,1.7386
0.3321,1.8283
0.3657,1.8908
0.4034,1.9244
0.4433,1.933
0.4834,1.9241
0.5225,1.9054
0.5599,1.8828
0.5955,1.8604
0.6295,1.8402
0.6624,1.8231
0.6942,1.8092
0.7254,1.7981
0.756,1.7891
0.7862,1.7817
0.8162,1.7753
0.846,1.7696
0.8757,1.7641
0.9054,1.7586
0.935,1.7529
0.9645,1.7469
0.9941,1.7405
1.0236,1.7336
1.0531,1.7262
1.0825,1.7182
1.1118,1.7097
1.141,1.7007
1.17,1.6911
1.1987,1.6811
1.2273,1.6707
1.2555,1.6598
1.2834,1.6485
1.3108,1.637
1.3379,1.6251
1.3644,1.6131
1.3903,1.6008
1.4157,1.5884
1.4404,1.576
1.4644,1.5635
1.4876,1.551
1.5101,1.5386
1.5317,1.5264
1.5524,1.5143
1.5723,1.5024
1.5913,1.4907
1.6094,1.4793
1.6265,1.4683
1.6428,1.4576
1.6581,1.4472
1.6725,1.4373
1.6861,1.4277
1.6988,1.4186
1.7107,1.4099
1.7218,1.4017
1.7322,1.3939
1.7419,1.3865
1.7509,1.3796
1.7593,1.3731
1.7671,1.367
1.7744,1.3614
1.7813,1.3562
1.7877,1.3513
1.7937,1.3469
1.7993,1.3428
1.8046,1.3391
1.8097,1.3358
1.8145,1.3328
1.8191,1.3301
1.8235,1.3277
1.8277,1.3255
1.8318,1.3237
1.8358,1.3221
1.8396,1.3207
1.8434,1.3196
1.8471,1.3186
1.8508,1.3179
1.8543,1.3174
1.8579,1.317
1.8614,1.3168
1.8648,1.3167
1.8682,1.3168
1.8716,1.317
1.8749,1.3173
1.8783,1.3177
1.8816,1.3182
1.8848,1.3189
1.8881,1.3195
1.8913,1.3203
1.8945,1.3211
1.8976,1.322
1.9008,1.323
1.9039,1.324
1.907,1.325
1.91,1.3261
1.913,1.3272
1.916,1.3283
1.919,1.3295
1.9219,1.3306
1.9248,1.3318
1.9277,1.333
1.9305,1.3343
1.9333,1.3355
1.9361,1.3368
1.9388,1.338
1.9415,1.3392
1.9442,1.3405
1.9468,1.3417
1.9494,1.343
1.952,1.3442
1.9545,1.3455
1.957,1.3467
1.9595,1.3479
1.9619,1.3491
1.9643,1.3503
1.9667,1.3515
1.969,1.3527
1.9713,1.3539
1.9736,1.355
1.9758,1.3562
1.978,1.3573
1.9802,1.3584
1.9824,1.3595
1.9845,1.3606
1.9866,1.3617
1.9886,1.3628
1.9906,1.3638
1.9926,1.3649
1.9946,1.3659
1.9965,1.3669
1.9984,1.3679
2.0003,1.3689
2.0021,1.3698
2.004,1.3708
2.0057,1.3717
2.0075,1.3726
2.0092,1.3735
2.011,1.3744
2.0126,1.3753
2.0143,1.3762
2.0159,1.377
2.0175,1.3779
2.0191,1.3787
2.0207,1.3795
2.0222,1.3803
2.0237,1.3811
2.0252,1.3819
2.0267,1.3826
2.0281,1.3834
2.0295,1.3841
2.0309,1.3848
2.0323,1.3855
